CH	UCODE	JP	INIT	FINL	TONE	ORDR
耫	U+802B	zaa6	z	aa	6	1000
耬	U+802C	lau4	l	au	4	1000
耭	U+802D	gei1	g	ei	1	1000
耮	U+802E	lou6	l	ou	6	1000
耮	U+802E	lou4	l	ou	4	999
耯	U+802F	wok6	w	ok	6	1000
耰	U+8030	jau1	j	au	1	1000
耱	U+8031	mo6	m	o	6	1000
耲	U+8032	waai4	w	aai	4	1000
耳	U+8033	ji5	j	i	5	1000
耴	U+8034	ngat6	ng	at	6	1000
耴	U+8034	at6		at	6	999
耵	U+8035	ding1	d	ing	1	1000
耶	U+8036	je4	j	e	4	1000
耷	U+8037	daap3	d	aap	3	1000
耷	U+8037	dap1	d	ap	1	999
耸	U+8038	sung2	s	ung	2	1000
耹	U+8039	kam4	k	am	4	1000
耺	U+803A	wan4	w	an	4	1000
耻	U+803B	ci2	c	i	2	1000
耼	U+803C	daam1	d	aam	1	1000
耽	U+803D	daam1	d	aam	1	1000
耾	U+803E	wang4	w	ang	4	1000
耿	U+803F	gang2	g	ang	2	1000
聀	U+8040	zik1	z	ik	1	1000
聁	U+8041	paan3	p	aan	3	1000
聂	U+8042	nip6	n	ip	6	1000
聂	U+8042	lip6	l	ip	6	999
聃	U+8043	daam1	d	aam	1	1000
聄	U+8044	can2	c	an	2	1000
聅	U+8045	cit3	c	it	3	1000
聆	U+8046	ling4	l	ing	4	1000
聇	U+8047	zing1	z	ing	1	1000
聈	U+8048	jau4	j	au	4	1000
聉	U+8049	waat6	w	aat	6	1000
聊	U+804A	liu4	l	iu	4	1000
聋	U+804B	lung4	l	ung	4	1000
聋	U+804B	lung2	l	ung	2	999
职	U+804C	zik1	z	ik	1	1000
聍	U+804D	ning4	n	ing	4	1000
聍	U+804D	ling4	l	ing	4	999
聎	U+804E	tiu1	t	iu	1	1000
聏	U+804F	ji4	j	i	4	1000
聐	U+8050	ngaat6	ng	aat	6	1000
聐	U+8050	aat6		aat	6	999
聑	U+8051	dip3	d	ip	3	1000
聒	U+8052	kut3	k	ut	3	1000
聒	U+8052	kwut3	kw	ut	3	999
聓	U+8053	sai3	s	ai	3	1000
联	U+8054	lyun4	l	yun	4	1000
联	U+8054	lyun2	l	yun	2	999
聕	U+8055	hou6	h	ou	6	1000
聖	U+8056	sing3	s	ing	3	1000
聗	U+8057	lip6	l	ip	6	1000
聘	U+8058	ping3	p	ing	3	1000
聙	U+8059	zing1	z	ing	1	1000
聚	U+805A	zeoi6	z	eoi	6	1000
聛	U+805B	bei2	b	ei	2	1000
聜	U+805C	dai2	d	ai	2	1000
聝	U+805D	gwok3	gw	ok	3	1000
聝	U+805D	gok3	g	ok	3	999
聝	U+805D	gwik1	gw	ik	1	998
聞	U+805E	man4	m	an	4	1000
聞	U+805E	man2	m	an	2	999
聞	U+805E	man6	m	an	6	998
聟	U+805F	sai3	s	ai	3	1000
聠	U+8060	ping1	p	ing	1	1000
聡	U+8061	cung1	c	ung	1	1000
聢	U+8062	ding6	d	ing	6	1000
聣	U+8063	ngai6	ng	ai	6	1000
聣	U+8063	ai6		ai	6	999
聤	U+8064	ting4	t	ing	4	1000
聥	U+8065	geoi2	g	eoi	2	1000
聦	U+8066	cung1	c	ung	1	1000
聧	U+8067	kwai1	kw	ai	1	1000
聨	U+8068	lyun4	l	yun	4	1000
聩	U+8069	kui2	k	ui	2	1000
聩	U+8069	kwui2	kw	ui	2	999
聩	U+8069	kui3	k	ui	3	998
聩	U+8069	kwui3	kw	ui	3	997
聪	U+806A	cung1	c	ung	1	1000
聫	U+806B	lyun4	l	yun	4	1000
聬	U+806C	jung2	j	ung	2	1000
聭	U+806D	gwai3	gw	ai	3	1000
聮	U+806E	lyun4	l	yun	4	1000
聯	U+806F	lyun4	l	yun	4	1000
聯	U+806F	lyun2	l	yun	2	999
聰	U+8070	cung1	c	ung	1	1000
聱	U+8071	ngou4	ng	ou	4	1000
聱	U+8071	ou4		ou	4	999
聲	U+8072	sing1	s	ing	1	1000
聲	U+8072	seng1	s	eng	1	999
聳	U+8073	sung2	s	ung	2	1000
聴	U+8074	ting1	t	ing	1	1000
聵	U+8075	kui2	k	ui	2	1000
聵	U+8075	kwui2	kw	ui	2	999
聵	U+8075	kui3	k	ui	3	998
聵	U+8075	kwui3	kw	ui	3	997
聶	U+8076	nip6	n	ip	6	1000
聶	U+8076	lip6	l	ip	6	999
職	U+8077	zik1	z	ik	1	1000
聸	U+8078	daam1	d	aam	1	1000
聹	U+8079	ning4	n	ing	4	1000
聹	U+8079	ling4	l	ing	4	999
聺	U+807A	cit3	c	it	3	1000
聻	U+807B	zim6	z	im	6	1000
聼	U+807C	ting1	t	ing	1	1000
聼	U+807C	teng1	t	eng	1	999
聼	U+807C	ting3	t	ing	3	998
聽	U+807D	ting1	t	ing	1	1000
聽	U+807D	teng1	t	eng	1	999
聽	U+807D	ting3	t	ing	3	998
聾	U+807E	lung4	l	ung	4	1000
聾	U+807E	lung2	l	ung	2	999
聿	U+807F	wat6	w	at	6	1000
聿	U+807F	leot6	l	eot	6	999
聿	U+807F	jyut6	j	yut	6	998
肀	U+8080	syu1 zi6 tau4	1000
肁	U+8081	ziu6	z	iu	6	1000
肂	U+8082	si3	s	i	3	1000
肃	U+8083	suk1	s	uk	1	1000
肄	U+8084	ji6	j	i	6	1000
肄	U+8084	si3	s	i	3	999
肅	U+8085	suk1	s	uk	1	1000
肆	U+8086	si3	s	i	3	1000
肆	U+8086	sei3	s	ei	3	999
肇	U+8087	siu6	s	iu	6	1000
肈	U+8088	siu6	s	iu	6	1000
肉	U+8089	juk6	j	uk	6	1000
肉	U+8089	juk2	j	uk	2	999
肊	U+808A	jik1	j	ik	1	1000
肋	U+808B	lak6	l	ak	6	1000
肋	U+808B	laak6	l	aak	6	999
肋	U+808B	laak1	l	aak	1	998
肌	U+808C	gei1	g	ei	1	1000
肍	U+808D	gau6	g	au	6	1000
肎	U+808E	hang2	h	ang	2	1000
肏	U+808F	caau3	c	aau	3	1000
肐	U+8090	gok3	g	ok	3	1000
肐	U+8090	gaak3	g	aak	3	999
肐	U+8090	gat1	g	at	1	998
肑	U+8091	bok3	b	ok	3	1000
肒	U+8092	wun6	w	un	6	1000
肓	U+8093	fong1	f	ong	1	1000
肔	U+8094	ci2	c	i	2	1000
肕	U+8095	jan6	j	an	6	1000
肖	U+8096	ciu3	c	iu	3	1000
肖	U+8096	siu1	s	iu	1	999
肗	U+8097	jyu5	j	yu	5	1000
肘	U+8098	zaau2	z	aau	2	1000
肘	U+8098	zau2	z	au	2	999
肙	U+8099	jyun1	j	yun	1	1000
肚	U+809A	tou5	t	ou	5	1000
肚	U+809A	tou2	t	ou	2	999
肛	U+809B	gong1	g	ong	1	1000
肜	U+809C	jung4	j	ung	4	1000
肝	U+809D	gon1	g	on	1	1000
肞	U+809E	caa1	c	aa	1	1000
肟	U+809F	ok3		ok	3	1000
肟	U+809F	ngok3	ng	ok	3	999
肟	U+809F	wu1	w	u	1	998
肠	U+80A0	coeng4	c	oeng	4	1000
肠	U+80A0	coeng2	c	oeng	2	999
股	U+80A1	gu2	g	u	2	1000
股	U+80A1	gwu2	gw	u	2	999
肢	U+80A2	zi1	z	i	1	1000
肣	U+80A3	ham4	h	am	4	1000
肤	U+80A4	fu1	f	u	1	1000
肥	U+80A5	fei4	f	ei	4	1000
肥	U+80A5	fei2	f	ei	2	999
肦	U+80A6	baan1	b	aan	1	1000
肧	U+80A7	pui1	p	ui	1	1000
肧	U+80A7	pei1	p	ei	1	999
肨	U+80A8	bun6	b	un	6	1000
肩	U+80A9	gin1	g	in	1	1000
肪	U+80AA	fong1	f	ong	1	1000
肫	U+80AB	zeon1	z	eon	1	1000
肫	U+80AB	seon4	s	eon	4	999
肬	U+80AC	jau4	j	au	4	1000
肭	U+80AD	neot6	n	eot	6	1000
肭	U+80AD	leot6	l	eot	6	999
肭	U+80AD	nat6	n	at	6	998
肭	U+80AD	lat6	l	at	6	997
肭	U+80AD	nuk6	n	uk	6	996
肭	U+80AD	luk6	l	uk	6	995
肮	U+80AE	kon3	k	on	3	1000
肮	U+80AE	ong1		ong	1	999
肮	U+80AE	ngong1	ng	ong	1	998
肮	U+80AE	ong3		ong	3	997
肮	U+80AE	ngong3	ng	ong	3	996
肮	U+80AE	hong4	h	ong	4	995
肯	U+80AF	hang2	h	ang	2	1000
肯	U+80AF	hoi2	h	oi	2	999
肰	U+80B0	jin4	j	in	4	1000
肱	U+80B1	gwang1	gw	ang	1	1000
育	U+80B2	juk6	j	uk	6	1000
育	U+80B2	jo1	j	o	1	999
肳	U+80B3	man5	m	an	5	1000
肴	U+80B4	ngaau4	ng	aau	4	1000
肴	U+80B4	aau4		aau	4	999
肵	U+80B5	kei4	k	ei	4	1000
肶	U+80B6	bei2	b	ei	2	1000
肷	U+80B7	him2	h	im	2	1000
肷	U+80B7	hip3	h	ip	3	999
肸	U+80B8	jat6	j	at	6	1000
肸	U+80B8	bei3	b	ei	3	999
肹	U+80B9	jat6	j	at	6	1000
肹	U+80B9	bei3	b	ei	3	999
肺	U+80BA	fai3	f	ai	3	1000
肻	U+80BB	hang2	h	ang	2	1000
肼	U+80BC	zeng2	z	eng	2	1000
肽	U+80BD	taai3	t	aai	3	1000
肾	U+80BE	san5	s	an	5	1000
肾	U+80BE	san2	s	an	2	999
肾	U+80BE	san6	s	an	6	998
肿	U+80BF	zung2	z	ung	2	1000
胀	U+80C0	zoeng3	z	oeng	3	1000
胁	U+80C1	hip3	h	ip	3	1000
胂	U+80C2	san6	s	an	6	1000
胃	U+80C3	wai6	w	ai	6	1000
胄	U+80C4	zau6	z	au	6	1000
胅	U+80C5	dit3	d	it	3	1000
胆	U+80C6	daam2	d	aam	2	1000
胇	U+80C7	fai3	f	ai	3	1000
胈	U+80C8	bat6	b	at	6	1000
胉	U+80C9	bok3	b	ok	3	1000
胊	U+80CA	keoi4	k	eoi	4	1000
胋	U+80CB	tim4	t	im	4	1000
背	U+80CC	bui3	b	ui	3	1000
背	U+80CC	bui2	b	ui	2	999
背	U+80CC	bui6	b	ui	6	998
胍	U+80CD	gwaa1	gw	aa	1	1000
胎	U+80CE	toi1	t	oi	1	1000
胏	U+80CF	zi2	z	i	2	1000
胐	U+80D0	pui3	p	ui	3	1000
胑	U+80D1	zi1	z	i	1	1000
胑	U+80D1	zik1	z	ik	1	999
胒	U+80D2	nei6	n	ei	6	1000
胒	U+80D2	lei6	l	ei	6	999
胓	U+80D3	ping4	p	ing	4	1000
胔	U+80D4	zi3	z	i	3	1000
胕	U+80D5	fu1	f	u	1	1000
胕	U+80D5	fu4	f	u	4	999
胖	U+80D6	bun6	b	un	6	1000
胖	U+80D6	pun4	p	un	4	999
胗	U+80D7	can2	c	an	2	1000
胗	U+80D7	zan1	z	an	1	999
胘	U+80D8	jin4	j	in	4	1000
胙	U+80D9	zou6	z	ou	6	1000
胚	U+80DA	pui1	p	ui	1	1000
胚	U+80DA	pei1	p	ei	1	999
胛	U+80DB	gaap3	g	aap	3	1000
胜	U+80DC	sing3	s	ing	3	1000
胜	U+80DC	sing1	s	ing	1	999
胜	U+80DC	saang1	s	aang	1	998
胝	U+80DD	zi1	z	i	1	1000
胞	U+80DE	baau1	b	aau	1	1000
胟	U+80DF	mou5	m	ou	5	1000
胠	U+80E0	keoi1	k	eoi	1	1000
胡	U+80E1	wu4	w	u	4	1000
胡	U+80E1	wu2	w	u	2	999
胢	U+80E2	kaa3	k	aa	3	1000
胣	U+80E3	ci2	c	i	2	1000
胤	U+80E4	jan6	j	an	6	1000
胥	U+80E5	seoi1	s	eoi	1	1000
胦	U+80E6	joeng1	j	oeng	1	1000
胧	U+80E7	lung4	l	ung	4	1000
胨	U+80E8	dung3	d	ung	3	1000
胩	U+80E9	kaa1	k	aa	1	1000
胪	U+80EA	lou4	l	ou	4	1000
胫	U+80EB	hing5	h	ing	5	1000
胫	U+80EB	ging3	g	ing	3	999
胬	U+80EC	nou5	n	ou	5	1000
胬	U+80EC	lou5	l	ou	5	999
胭	U+80ED	jin1	j	in	1	1000
胮	U+80EE	pong1	p	ong	1	1000
胯	U+80EF	kwaa3	kw	aa	3	1000
胰	U+80F0	ji4	j	i	4	1000
胱	U+80F1	gwong1	gw	ong	1	1000
胱	U+80F1	gong1	g	ong	1	999
胲	U+80F2	goi1	g	oi	1	1000
胲	U+80F2	goi2	g	oi	2	999
胲	U+80F2	hoi2	h	oi	2	998
胳	U+80F3	gok3	g	ok	3	1000
胳	U+80F3	gaak3	g	aak	3	999
胳	U+80F3	gat1	g	at	1	998
胳	U+80F3	lok3	l	ok	3	997
胴	U+80F4	dung6	d	ung	6	1000
胵	U+80F5	ci1	c	i	1	1000
胵	U+80F5	ci3	c	i	3	999
胶	U+80F6	gaau1	g	aau	1	1000
胷	U+80F7	hung1	h	ung	1	1000
胸	U+80F8	hung1	h	ung	1	1000
胹	U+80F9	ji4	j	i	4	1000
胺	U+80FA	on1		on	1	1000
胺	U+80FA	ngon1	ng	on	1	999
胺	U+80FA	on3		on	3	998
胺	U+80FA	ngon3	ng	on	3	997
胺	U+80FA	aat3		aat	3	996
胺	U+80FA	ngaat3	ng	aat	3	995
胻	U+80FB	hang4	h	ang	4	1000
胼	U+80FC	pin4	p	in	4	1000
能	U+80FD	nang4	n	ang	4	1000
能	U+80FD	lang4	l	ang	4	999
胾	U+80FE	zi3	z	i	3	1000
胿	U+80FF	gwai1	gw	ai	1	1000
脀	U+8100	zing1	z	ing	1	1000
脁	U+8101	tiu2	t	iu	2	1000
脂	U+8102	zi1	z	i	1	1000
脃	U+8103	ceoi3	c	eoi	3	1000
脄	U+8104	mui4	m	ui	4	1000
脅	U+8105	hip3	h	ip	3	1000
脆	U+8106	ceoi3	c	eoi	3	1000
脇	U+8107	hip3	h	ip	3	1000
脈	U+8108	mak6	m	ak	6	1000
脉	U+8109	mak6	m	ak	6	1000
脊	U+810A	zik3	z	ik	3	1000
脊	U+810A	zek3	z	ek	3	999
脋	U+810B	hip3	h	ip	3	1000
脌	U+810C	nin1	n	in	1	1000
脌	U+810C	lin1	l	in	1	999
脍	U+810D	kui2	k	ui	2	1000
脍	U+810D	kwui2	kw	ui	2	999
脎	U+810E	saat3	s	aat	3	1000
脏	U+810F	zong1	z	ong	1	1000
脏	U+810F	zong3	z	ong	3	999
脏	U+810F	zong6	z	ong	6	998
脐	U+8110	ci4	c	i	4	1000
脑	U+8111	nou5	n	ou	5	1000
脑	U+8111	lou5	l	ou	5	999
脒	U+8112	mai5	m	ai	5	1000
脓	U+8113	nung4	n	ung	4	1000
脓	U+8113	lung4	l	ung	4	999
脔	U+8114	lyun5	l	yun	5	1000
脔	U+8114	lyun2	l	yun	2	999
脔	U+8114	lyun4	l	yun	4	998
脕	U+8115	maan5	m	aan	5	1000
脕	U+8115	maan6	m	aan	6	999
脖	U+8116	but6	b	ut	6	1000
脗	U+8117	man5	m	an	5	1000
脘	U+8118	gun2	g	un	2	1000
脘	U+8118	gwun2	gw	un	2	999
脘	U+8118	wun2	w	un	2	998
脙	U+8119	jau1	j	au	1	1000
脚	U+811A	goek3	g	oek	3	1000
脛	U+811B	hing5	h	ing	5	1000
脛	U+811B	ging3	g	ing	3	999
脜	U+811C	jau4	j	au	4	1000
脝	U+811D	hang1	h	ang	1	1000
脞	U+811E	co2	c	o	2	1000
脟	U+811F	lyut3	l	yut	3	1000
脟	U+811F	lyun2	l	yun	2	999
脠	U+8120	zin1	z	in	1	1000
脡	U+8121	ting2	t	ing	2	1000
脡	U+8121	ting5	t	ing	5	999
脢	U+8122	mui4	m	ui	4	1000
脣	U+8123	seon4	s	eon	4	1000
脤	U+8124	san5	s	an	5	1000
脥	U+8125	him2	h	im	2	1000
脦	U+8126	tik1	t	ik	1	1000
脧	U+8127	zeoi1	z	eoi	1	1000
脨	U+8128	cuk1	c	uk	1	1000
脩	U+8129	sau1	s	au	1	1000
脪	U+812A	jan3	j	an	3	1000
脫	U+812B	tyut3	t	yut	3	1000
脬	U+812C	paau1	p	aau	1	1000
脭	U+812D	cing4	c	ing	4	1000
脮	U+812E	neoi5	n	eoi	5	1000
脮	U+812E	leoi5	l	eoi	5	999
脯	U+812F	fu2	f	u	2	1000
脯	U+812F	pou2	p	ou	2	999
脯	U+812F	pou4	p	ou	4	998
脰	U+8130	dau6	d	au	6	1000
脱	U+8131	tyut3	t	yut	3	1000
簈	U+7C08	ping4	p	ing	4	1000
簉	U+7C09	zou6	z	ou	6	1000
簊	U+7C0A	gei1	g	ei	1	1000
簋	U+7C0B	gwai2	gw	ai	2	1000
簌	U+7C0C	cuk1	c	uk	1	1000
簍	U+7C0D	lau5	l	au	5	1000
簎	U+7C0E	caak3	c	aak	3	1000
簏	U+7C0F	luk1	l	uk	1	1000
簐	U+7C10	nin2	n	in	2	1000
簐	U+7C10	lin2	l	in	2	999
簑	U+7C11	so1	s	o	1	1000
簒	U+7C12	saan3	s	aan	3	1000
簓	U+7C13	diu1	d	iu	1	1000
簔	U+7C14	so1	s	o	1	1000
簕	U+7C15	lak6	l	ak	6	1000
簖	U+7C16	dyun6	d	yun	6	1000
簗	U+7C17	loeng4	l	oeng	4	1000
簘	U+7C18	siu1	s	iu	1	1000
簙	U+7C19	bok3	b	ok	3	1000
簚	U+7C1A	mik6	m	ik	6	1000
簛	U+7C1B	sai1	s	ai	1	1000
簜	U+7C1C	dong6	d	ong	6	1000
簝	U+7C1D	liu4	l	iu	4	1000
簞	U+7C1E	daan1	d	aan	1	1000
簟	U+7C1F	tim5	t	im	5	1000
簟	U+7C1F	dim3	d	im	3	999
簠	U+7C20	fu2	f	u	2	1000
簡	U+7C21	gaan2	g	aan	2	1000
簢	U+7C22	man5	m	an	5	1000
簣	U+7C23	gwai6	gw	ai	6	1000
簤	U+7C24	daai6	d	aai	6	1000
簥	U+7C25	giu1	g	iu	1	1000
簦	U+7C26	dang1	d	ang	1	1000
簧	U+7C27	wong4	w	ong	4	1000
簧	U+7C27	wong2	w	ong	2	999
簨	U+7C28	seon2	s	eon	2	1000
簨	U+7C28	seon3	s	eon	3	999
簩	U+7C29	lou4	l	ou	4	1000
簪	U+7C2A	zaam1	z	aam	1	1000
簫	U+7C2B	siu1	s	iu	1	1000
簬	U+7C2C	lou6	l	ou	6	1000
簭	U+7C2D	sai6	s	ai	6	1000
簮	U+7C2E	zaam1	z	aam	1	1000
簯	U+7C2F	kei4	k	ei	4	1000
簰	U+7C30	paai4	p	aai	4	1000
簱	U+7C31	kei4	k	ei	4	1000
簲	U+7C32	paai4	p	aai	4	1000
簳	U+7C33	gon3	g	on	3	1000
簳	U+7C33	gon2	g	on	2	999
簴	U+7C34	geoi6	g	eoi	6	1000
簵	U+7C35	lou6	l	ou	6	1000
簶	U+7C36	luk6	l	uk	6	1000
簷	U+7C37	jim4	j	im	4	1000
簷	U+7C37	sim4	s	im	4	999
簷	U+7C37	jam4	j	am	4	998
簸	U+7C38	bo3	b	o	3	1000
簸	U+7C38	bo1	b	o	1	999
簸	U+7C38	bo2	b	o	2	998
簹	U+7C39	dong1	d	ong	1	1000
簺	U+7C3A	coi3	c	oi	3	1000
簻	U+7C3B	zaa1	z	aa	1	1000
簻	U+7C3B	gwo1	gw	o	1	999
簻	U+7C3B	go1	g	o	1	998
簼	U+7C3C	gau1	g	au	1	1000
簽	U+7C3D	cim1	c	im	1	1000
簾	U+7C3E	lim4	l	im	4	1000
簾	U+7C3E	lim2	l	im	2	999
簿	U+7C3F	bou6	b	ou	6	1000
簿	U+7C3F	bou2	b	ou	2	999
籀	U+7C40	zau6	z	au	6	1000
籁	U+7C41	laai6	l	aai	6	1000
籂	U+7C42	sik1	s	ik	1	1000
籃	U+7C43	laam4	l	aam	4	1000
籃	U+7C43	laam2	l	aam	2	999
籄	U+7C44	gwai6	gw	ai	6	1000
籅	U+7C45	jyu4	j	yu	4	1000
籆	U+7C46	wok6	w	ok	6	1000
籆	U+7C46	jyut6	j	yut	6	999
籇	U+7C47	gou1	g	ou	1	1000
籈	U+7C48	zan1	z	an	1	1000
籉	U+7C49	toi4	t	oi	4	1000
籊	U+7C4A	tik1	t	ik	1	1000
籊	U+7C4A	dik6	d	ik	6	999
籋	U+7C4B	nip6	n	ip	6	1000
籋	U+7C4B	lip6	l	ip	6	999
籌	U+7C4C	cau4	c	au	4	1000
籌	U+7C4C	cau2	c	au	2	999
籍	U+7C4D	zik6	z	ik	6	1000
籎	U+7C4E	ji4	j	i	4	1000
籏	U+7C4F	kei4	k	ei	4	1000
籐	U+7C50	tang4	t	ang	4	1000
籑	U+7C51	zaan6	z	aan	6	1000
籒	U+7C52	zau6	z	au	6	1000
籓	U+7C53	faan1	f	aan	1	1000
籔	U+7C54	sou2	s	ou	2	1000
籔	U+7C54	sau2	s	au	2	999
籕	U+7C55	zau6	z	au	6	1000
籖	U+7C56	cim1	c	im	1	1000
籗	U+7C57	zoek3	z	oek	3	1000
籘	U+7C58	tang4	t	ang	4	1000
籙	U+7C59	luk6	l	uk	6	1000
籚	U+7C5A	lou4	l	ou	4	1000
籛	U+7C5B	zin1	z	in	1	1000
籜	U+7C5C	tok3	t	ok	3	1000
籝	U+7C5D	jing4	j	ing	4	1000
籞	U+7C5E	jyu6	j	yu	6	1000
籟	U+7C5F	laai6	l	aai	6	1000
籠	U+7C60	lung4	l	ung	4	1000
籠	U+7C60	lung2	l	ung	2	999
籠	U+7C60	lung5	l	ung	5	998
籡	U+7C61	gim2	g	im	2	1000
籢	U+7C62	lim4	l	im	4	1000
籣	U+7C63	laan4	l	aan	4	1000
籤	U+7C64	cim1	c	im	1	1000
籥	U+7C65	joek6	j	oek	6	1000
籦	U+7C66	zung1	z	ung	1	1000
籧	U+7C67	keoi4	k	eoi	4	1000
籧	U+7C67	geoi2	g	eoi	2	999
籨	U+7C68	lim4	l	im	4	1000
籩	U+7C69	bin1	b	in	1	1000
籪	U+7C6A	dyun6	d	yun	6	1000
籫	U+7C6B	zyun2	z	yun	2	1000
籬	U+7C6C	lei4	l	ei	4	1000
籬	U+7C6C	lei1	l	ei	1	999
籭	U+7C6D	sai1	s	ai	1	1000
籮	U+7C6E	lo4	l	o	4	1000
籮	U+7C6E	lo1	l	o	1	999
籮	U+7C6E	lo2	l	o	2	998
籯	U+7C6F	jing4	j	ing	4	1000
籰	U+7C70	wok6	w	ok	6	1000
籰	U+7C70	jyut6	j	yut	6	999
籱	U+7C71	zoek3	z	oek	3	1000
籲	U+7C72	jyu6	j	yu	6	1000
籲	U+7C72	joek6	j	oek	6	999
米	U+7C73	mai5	m	ai	5	1000
米	U+7C73	mai2	m	ai	2	999
米	U+7C73	mai1	m	ai	1	998
籴	U+7C74	dek6	d	ek	6	1000
籵	U+7C75	faan4	f	aan	4	1000
籶	U+7C76	san1	s	an	1	1000
籷	U+7C77	zaak3	z	aak	3	1000
籸	U+7C78	san1	s	an	1	1000
籸	U+7C78	sam2	s	am	2	999
籸	U+7C78	saam2	s	aam	2	998
籹	U+7C79	neoi5	n	eoi	5	1000
籹	U+7C79	leoi5	l	eoi	5	999
籹	U+7C79	jyu5	j	yu	5	998
籺	U+7C7A	hat6	h	at	6	1000
类	U+7C7B	leoi6	l	eoi	6	1000
类	U+7C7B	leoi2	l	eoi	2	999
籼	U+7C7C	sin1	s	in	1	1000
籽	U+7C7D	zi2	z	i	2	1000
籾	U+7C7E	nei4	n	ei	4	1000
籾	U+7C7E	lei4	l	ei	4	999
籿	U+7C7F	fan1 mai5	1000
粀	U+7C80	sap6 mai5	1000
粁	U+7C81	cin1 mai5	1000
粂	U+7C82	gau2	g	au	2	1000
粃	U+7C83	bei2	b	ei	2	1000
粄	U+7C84	bun2	b	un	2	1000
粅	U+7C85	mat6	m	at	6	1000
粆	U+7C86	saa1	s	aa	1	1000
粇	U+7C87	hong1	h	ong	1	1000
粈	U+7C88	jau2	j	au	2	1000
粉	U+7C89	fan2	f	an	2	1000
粊	U+7C8A	bei3	b	ei	3	1000
粋	U+7C8B	seoi6	s	eoi	6	1000
粌	U+7C8C	baak3 mai5	1000
粍	U+7C8D	hou4 mai5	1000
粎	U+7C8E	mai5	m	ai	5	1000
粏	U+7C8F	taai3	t	aai	3	1000
粐	U+7C90	wu6	w	u	6	1000
粑	U+7C91	baa1	b	aa	1	1000
粒	U+7C92	nap1	n	ap	1	1000
粒	U+7C92	lap1	l	ap	1	999
粓	U+7C93	gam1	g	am	1	1000
粔	U+7C94	geoi6	g	eoi	6	1000
粔	U+7C94	geoi2	g	eoi	2	999
粕	U+7C95	pok3	p	ok	3	1000
粕	U+7C95	paak3	p	aak	3	999
粖	U+7C96	mit6	m	it	6	1000
粗	U+7C97	cou1	c	ou	1	1000
粘	U+7C98	zim1	z	im	1	1000
粘	U+7C98	nim1	n	im	1	999
粘	U+7C98	lim1	l	im	1	998
粘	U+7C98	nim4	n	im	4	997
粘	U+7C98	lim4	l	im	4	996
粙	U+7C99	zau6	z	au	6	1000
粚	U+7C9A	ci1	c	i	1	1000
粛	U+7C9B	suk1	s	uk	1	1000
粜	U+7C9C	tiu3	t	iu	3	1000
粝	U+7C9D	lai6	l	ai	6	1000
粞	U+7C9E	sai1	s	ai	1	1000
粟	U+7C9F	suk1	s	uk	1	1000
粠	U+7CA0	hung4	h	ung	4	1000
粡	U+7CA1	tung4	t	ung	4	1000
粢	U+7CA2	zi1	z	i	1	1000
粣	U+7CA3	saan2	s	aan	2	1000
粤	U+7CA4	jyut6	j	yut	6	1000
粥	U+7CA5	zuk1	z	uk	1	1000
粥	U+7CA5	juk6	j	uk	6	999
粦	U+7CA6	leon4	l	eon	4	1000
粧	U+7CA7	zong1	z	ong	1	1000
粨	U+7CA8	baak3 mai5	1000
粩	U+7CA9	lou5	l	ou	5	1000
粪	U+7CAA	fan3	f	an	3	1000
粫	U+7CAB	ji4	j	i	4	1000
粬	U+7CAC	kuk1	k	uk	1	1000
粭	U+7CAD	hap6	h	ap	6	1000
粮	U+7CAE	loeng4	l	oeng	4	1000
粯	U+7CAF	haan6	h	aan	6	1000
粰	U+7CB0	fu1	f	u	1	1000
粱	U+7CB1	loeng4	l	oeng	4	1000
粲	U+7CB2	caan3	c	aan	3	1000
粳	U+7CB3	gang1	g	ang	1	1000
粴	U+7CB4	gung1 lei5	1000
粵	U+7CB5	jyut6	j	yut	6	1000
粶	U+7CB6	luk6	l	uk	6	1000
粷	U+7CB7	guk1	g	uk	1	1000
粸	U+7CB8	kei4	k	ei	4	1000
粹	U+7CB9	seoi6	s	eoi	6	1000
粹	U+7CB9	seoi5	s	eoi	5	999
粹	U+7CB9	seoi3	s	eoi	3	998
粺	U+7CBA	baai6	b	aai	6	1000
粺	U+7CBA	bai6	b	ai	6	999
粺	U+7CBA	pei4	p	ei	4	998
粻	U+7CBB	zoeng1	z	oeng	1	1000
粼	U+7CBC	leon4	l	eon	4	1000
粽	U+7CBD	zung2	z	ung	2	1000
粽	U+7CBD	zung3	z	ung	3	999
精	U+7CBE	zing1	z	ing	1	1000
精	U+7CBE	zeng1	z	eng	1	999
粿	U+7CBF	gwo2	gw	o	2	1000
粿	U+7CBF	go2	g	o	2	999
糀	U+7CC0	faa1	f	aa	1	1000
糁	U+7CC1	sam2	s	am	2	1000
糁	U+7CC1	saam2	s	aam	2	999
糂	U+7CC2	sam2	s	am	2	1000
糂	U+7CC2	saam2	s	aam	2	999
糃	U+7CC3	tong4	t	ong	4	1000
糄	U+7CC4	bin2	b	in	2	1000
糅	U+7CC5	jau2	j	au	2	1000
糅	U+7CC5	nau6	n	au	6	999
糅	U+7CC5	lau6	l	au	6	998
糆	U+7CC6	min6	m	in	6	1000
糇	U+7CC7	hau4	h	au	4	1000
糈	U+7CC8	seoi2	s	eoi	2	1000
糉	U+7CC9	zung2	z	ung	2	1000
